"#","Player","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF"
"1","Jaden Hardy","IGN","12","32.2","17.7","6.0","17.1",".351","1.8","6.5",".269","2.5","2.8",".882","0.5","4.1","4.6","3.2","1.3","0.3","3.5","2.4"
"2","MarJon Beauchamp","IGN","12","36.6","15.1","6.3","11.1",".571","0.7","2.8",".242","1.1","1.7",".650","1.8","5.6","7.3","2.5","1.5","0.6","2.3","2.4"
"3","Michael Foster Jr.","IGN","13","29.9","14.8","5.7","11.6",".490","0.4","1.2",".313","1.6","2.2",".750","1.5","7.2","8.7","2.0","0.8","1.9","2.2","1.9"
"4","Scoot Henderson","IGN","11","24.5","14.0","4.6","10.6",".436","0.4","2.1",".174","2.5","3.3",".778","1.5","3.4","4.9","3.6","1.6","0.1","2.5","3.2"
"5","Malik Pope","IGN","1","29.8","14.0","5.0","11.0",".455","2.0","3.0",".667","1.0","1.0","1.000","3.0","3.0","6.0","2.0","0.0","2.0","3.0","5.0"
"6","Dyson Daniels","IGN","14","31.2","11.3","4.4","9.9",".449","0.9","3.6",".255","1.0","1.4",".737","2.2","4.0","6.2","4.4","1.9","0.7","2.4","2.1"
"7","Pooh Jeter","IGN","13","22.6","9.7","3.4","7.3",".463","2.0","4.3",".464","0.5","0.6",".875","0.2","2.0","2.2","3.2","1.1","0.2","1.2","1.0"
"8","Kevin Murphy","IGN","14","22.4","9.6","3.9","7.6",".505","1.1","3.4",".340","0.6","0.8",".818","0.4","3.0","3.4","1.9","0.4","0.4","1.7","2.3"
"9","C.J. Miles","IGN","1","22.3","9.0","4.0","13.0",".308","1.0","8.0",".125","0.0","1.0",".000","1.0","4.0","5.0","1.0","0.0","0.0","0.0","1.0"
"10","Jessie Govan","IGN","11","16.8","8.7","3.9","6.7",".581","0.0","0.7",".000","0.5","0.8",".667","1.6","3.8","5.5","1.3","0.6","0.4","1.5","2.6"
"11","Amauri Hardy","IGN","9","13.7","6.8","2.8","6.0",".463","1.0","2.0",".500","0.1","0.4",".250","0.3","1.3","1.7","1.0","0.6","0.0","0.8","0.4"
"12","Dakarai Allen","IGN","14","22.0","5.4","2.1","4.1",".509","0.3","0.7",".400","0.6","0.6",".889","1.0","1.6","2.6","1.0","1.3","0.4","1.2","2.6"
"13","Fanbo Zeng","IGN","9","13.5","3.8","1.3","3.7",".364","0.7","1.7",".400","0.2","0.4",".500","0.4","1.0","1.4","0.8","0.3","0.9","0.4","2.9"
"14","Amir Johnson","IGN","7","7.2","1.0","0.4","1.1",".375","0.1","0.1","1.000","0.0","0.0",".000","0.7","0.9","1.6","0.6","0.1","0.3","0.4","0.6"
"15","Kosta Koufos","IGN","1","2.5","0.0","0.0","0.0",".000","0.0","0.0",".000","0.0","0.0",".000","0.0","1.0","1.0","0.0","0.0","0.0","2.0","3.0"
